City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
albany,42.6001,-73.9662,42.01,48,40,10.36,US,1615301659
hasaki,35.7333,140.8333,44.6,93,75,4.61,JP,1615301831
tiksi,71.6872,128.8694,-19.08,88,85,7.63,RU,1615301831
petit-bourg,16.1914,-61.5916,78.8,73,75,16.11,GP,1615301831
rikitea,-23.1203,-134.9692,80.71,81,1,13.94,PF,1615301831
iqaluit,63.7506,-68.5145,10.4,85,90,2.3,CA,1615301832
lulea,65.5842,22.1547,14.0,79,0,3.44,SE,1615301832
chuy,-33.6971,-53.4616,74.52,65,65,10.2,UY,1615301832
dikson,73.5069,80.5464,-17.84,90,89,7.02,RU,1615301832
rio grande,-32.035,-52.0986,80.6,61,75,13.8,BR,1615301762
souillac,-20.5167,57.5167,82.4,74,40,5.75,MU,1615301833
arraial do cabo,-22.9661,-42.0278,84.2,69,40,3.44,BR,1615301833
khatanga,71.9667,102.5,-24.79,86,94,4.52,RU,1615301833
puerto ayora,-0.7393,-90.3518,81.0,83,0,8.05,EC,1615301834
los llanos de aridane,28.6585,-17.9182,68.0,52,75,16.11,ES,1615301834
yellowknife,62.456,-114.3525,-16.01,68,20,0.96,CA,1615301834
hamilton,39.1834,-84.5333,54.0,57,75,4.61,US,1615301719
saint-augustin,51.226,-58.6502,21.22,91,0,7.0,CA,1615301835
georgetown,5.4112,100.3354,82.4,74,20,2.3,MY,1615301641
port blair,11.6667,92.75,80.31,74,0,6.44,IN,1615301835
rawson,-43.3002,-65.1023,78.64,20,63,32.91,AR,1615301835
busselton,-33.65,115.3333,73.99,71,100,1.01,AU,1615301836
kabo,7.6994,18.629,99.54,21,75,2.33,CF,1615301836
torbay,47.6666,-52.7314,28.99,77,100,5.99,CA,1615301836
kuytun,54.3419,101.5036,14.04,94,79,4.52,RU,1615301836
leningradskiy,69.3833,178.4167,-17.1,87,100,1.39,RU,1615301836
galle,6.0367,80.217,79.29,83,100,7.23,LK,1615301837
pangnirtung,66.1451,-65.7125,8.6,85,90,3.44,CA,1615301837
tuktoyaktuk,69.4541,-133.0374,-18.4,76,1,13.8,CA,1615301837
olafsvik,64.8945,-23.7142,36.41,82,100,17.43,IS,1615301837
kapaa,22.0752,-159.319,68.0,94,90,20.71,US,1615301838
ushuaia,-54.8,-68.3,57.2,62,90,13.8,AR,1615301838
hithadhoo,-0.6,73.0833,84.27,60,25,2.64,MV,1615301838
kodiak,57.79,-152.4072,39.2,75,90,4.61,US,1615301838
ponta do sol,32.6667,-17.1,63.0,59,40,19.57,PT,1615301839
mataura,-46.1927,168.8643,57.0,77,100,8.01,NZ,1615301839
kaitangata,-46.2817,169.8464,57.99,78,100,3.33,NZ,1615301839
kachug,53.9606,105.8817,22.75,92,100,9.75,RU,1615301839
najran,17.4924,44.1277,89.6,13,0,9.22,SA,1615301839
marzuq,14.4,46.4667,72.72,28,0,12.55,YE,1615301840
bredasdorp,-34.5322,20.0403,77.0,38,68,29.93,ZA,1615301840
hilo,19.7297,-155.09,69.8,83,75,6.91,US,1615301572
katsuura,35.1333,140.3,54.0,87,75,8.05,JP,1615301840
korla,41.7597,86.1469,50.16,45,99,1.95,CN,1615301841
nyrob,60.733,56.7202,-12.75,88,64,5.64,RU,1615301841
new norfolk,-42.7826,147.0587,57.2,54,90,6.91,AU,1615301841
vanimo,-2.6741,141.3028,78.64,79,99,0.4,PG,1615301842
punta arenas,-53.15,-70.9167,50.0,87,90,5.75,CL,1615301569
vaini,-21.2,-175.2,71.6,73,20,4.61,TO,1615301842
albert lea,43.648,-93.3683,48.0,71,75,14.97,US,1615301842
ribeira grande,38.5167,-28.7,64.4,82,75,11.5,PT,1615301842
jamestown,42.097,-79.2353,44.01,75,1,4.45,US,1615301769
guasdualito,7.2424,-70.7324,86.27,55,62,8.97,VE,1615301843
bluff,-46.6,168.3333,57.0,77,100,8.01,NZ,1615301843
ilulissat,69.2167,-51.1,17.6,49,20,9.22,GL,1615301843
tiznit,29.5833,-9.5,56.95,62,85,12.33,MA,1615301844
glenboig,55.8942,-4.0462,48.99,82,100,3.0,GB,1615301844
severo-kurilsk,50.6789,156.125,23.05,90,98,9.06,RU,1615301844
rocha,-34.4833,-54.3333,72.57,63,81,8.32,UY,1615301557
esperance,-33.8667,121.9,62.6,82,0,12.66,AU,1615301845
katoro,-3.0203,31.8958,74.89,73,10,2.98,TZ,1615301845
barrow,71.2906,-156.7887,19.4,68,90,12.66,US,1615301845
bardiyah,31.7561,25.0865,73.74,31,39,13.47,LY,1615301846
belmonte,-15.8631,-38.8828,86.0,54,40,4.61,BR,1615301846
jinchang,38.4953,102.1739,45.91,47,100,5.57,CN,1615301846
sinnamary,5.3833,-52.95,80.78,81,86,14.2,GF,1615301846
necochea,-38.5473,-58.7368,66.0,54,0,7.0,AR,1615301652
lorengau,-2.0226,147.2712,82.2,75,99,9.35,PG,1615301847
cabo san lucas,22.8909,-109.9124,68.0,31,75,5.75,MX,1615301663
sao joao da barra,-21.6403,-41.0511,82.4,69,75,1.23,BR,1615301602
bambous virieux,-20.3428,57.7575,82.4,74,40,5.75,MU,1615301847
norman wells,65.282,-126.8329,-20.2,83,20,4.61,CA,1615301847
kabinda,-6.1333,24.4833,77.41,72,18,1.97,CD,1615301848
karratha,-20.7377,116.8463,81.75,76,0,11.45,AU,1615301848
codrington,-38.2667,141.9667,54.1,87,13,2.62,AU,1615301848
east london,-33.0153,27.9116,75.2,69,0,14.97,ZA,1615301849
caravelas,-17.7125,-39.2481,90.64,47,47,8.08,BR,1615301849
hobart,-42.8794,147.3294,57.2,54,90,6.91,AU,1615301844
alofi,-19.0595,-169.9187,69.8,94,62,3.44,NU,1615301849
yangambi,0.8102,24.4336,93.34,33,27,3.2,CD,1615301850
nikolskoye,59.7035,30.7861,8.6,52,0,6.71,RU,1615301850
grootfontein,-19.5667,18.1167,84.2,34,40,5.75,NA,1615301850
ambunti,-4.2365,142.8448,73.24,97,100,1.36,PG,1615301850
coihaique,-45.5752,-72.0662,57.2,58,40,8.05,CL,1615301851
lebu,-37.6167,-73.65,63.84,51,36,6.49,CL,1615301851
cidreira,-30.1811,-50.2056,74.48,80,85,13.04,BR,1615301852
castro,-24.7911,-50.0119,75.04,67,0,5.55,BR,1615301852
airai,-8.9266,125.4092,60.42,100,98,1.36,TL,1615301852
nanortalik,60.1432,-45.2371,26.76,94,97,5.39,GL,1615301852
jacareacanga,-6.2222,-57.7528,78.8,83,75,2.3,BR,1615301853
olinda,-8.0089,-34.8553,84.2,65,40,10.36,BR,1615301853
douglas,41.3,-96.167,55.99,47,1,14.97,US,1615301791
port elizabeth,-33.918,25.5701,73.4,53,0,10.36,ZA,1615301853
harper,4.375,-7.7169,84.02,72,100,10.36,LR,1615301854
ambanja,-13.6833,48.45,79.61,80,22,6.15,MG,1615301854
victoria,22.2855,114.1577,69.01,84,0,10.2,HK,1615301653
tuatapere,-46.1333,167.6833,57.0,77,100,8.01,NZ,1615301854
dobryatino,55.5055,41.3195,6.6,94,100,7.56,RU,1615301854
kruisfontein,-34.0033,24.7314,73.0,62,100,5.01,ZA,1615301855
port shepstone,-30.7414,30.455,76.46,83,100,16.84,ZA,1615301855
borovskoy,53.8,64.15,23.59,97,100,12.1,KZ,1615301855
qaanaaq,77.484,-69.3632,-1.19,68,10,5.77,GL,1615301855
zhigansk,66.7697,123.3711,2.48,93,100,22.55,RU,1615301856
deogarh,21.5333,84.7333,79.68,17,0,1.59,IN,1615301662
carnarvon,-24.8667,113.6333,78.8,83,75,9.22,AU,1615301856
sungairaya,0.7,108.9,77.2,85,100,7.65,ID,1615301857
soligalich,59.0778,42.2864,-3.71,91,100,6.85,RU,1615301857
coquimbo,-29.9533,-71.3436,64.4,82,90,5.75,CL,1615301857
aklavik,68.2191,-135.0107,-11.2,84,1,10.36,CA,1615301857
longyearbyen,78.2186,15.6401,23.0,93,75,5.75,SJ,1615301857
vardo,70.3705,31.1107,19.4,93,75,14.97,NO,1615301858
bolshoye nagatkino,54.5196,47.9679,19.4,63,80,4.47,RU,1615301858
upernavik,72.7868,-56.1549,11.5,88,100,3.22,GL,1615301858
goundam,16.4145,-3.6708,99.81,9,0,10.8,ML,1615301858
mariakani,-3.8633,39.4736,86.0,58,75,11.5,KE,1615301859
ostrovnoy,68.0531,39.5131,21.83,91,100,16.93,RU,1615301859
gorontalo,0.5412,123.0595,73.96,87,100,2.71,ID,1615301859
salina,38.8403,-97.6114,60.01,71,1,27.63,US,1615301859
meulaboh,4.1363,96.1285,78.73,82,31,2.55,ID,1615301859
mayumba,-3.432,10.6554,83.48,75,9,8.97,GA,1615301860
hanchuan,30.65,113.7667,48.2,87,75,4.47,CN,1615301860
pedernales,18.0384,-71.744,80.19,68,96,7.25,DO,1615301860
inhambane,-23.865,35.3833,84.2,61,20,12.66,MZ,1615301861
cape town,-33.9258,18.4232,71.01,64,75,32.21,ZA,1615301608
cape canaveral,28.4058,-80.6048,70.0,52,20,10.36,US,1615301861
trairi,-3.2778,-39.2689,85.51,68,48,12.12,BR,1615301861
pisco,-13.7,-76.2167,73.99,83,40,8.05,PE,1615301861
grindavik,63.8424,-22.4338,37.4,81,0,16.11,IS,1615301862
lavrentiya,65.5833,-171.0,-2.2,92,0,5.86,RU,1615301862
tasiilaq,65.6145,-37.6368,23.0,63,75,6.91,GL,1615301862
makakilo city,21.3469,-158.0858,68.0,100,90,3.44,US,1615301862
isangel,-19.55,169.2667,76.23,82,9,12.66,VU,1615301863
port alfred,-33.5906,26.891,71.01,78,92,1.01,ZA,1615301863
pevek,69.7008,170.3133,-19.35,85,100,10.45,RU,1615301863
chokurdakh,70.6333,147.9167,-12.32,88,100,15.28,RU,1615301863
kupino,54.3663,77.2981,12.27,94,96,14.38,RU,1615301864
esil,51.9556,66.4042,16.79,93,100,10.87,KZ,1615301864
omboue,-1.5746,9.2618,83.34,78,72,10.25,GA,1615301864
katobu,-4.9408,122.5276,75.99,88,100,2.59,ID,1615301865
atuona,-9.8,-139.0333,78.6,77,41,15.43,PF,1615301865
waycross,31.2136,-82.354,62.01,41,1,3.44,US,1615301865
chany,55.3121,76.7647,13.62,95,100,16.75,RU,1615301865
